117,984,DMIA 2102,Essentials of 2D and 3D Design,1300,1600,M,LAB,13-E056-59,MTCL8,26,,,
117,981,DMIA 1120,Color Theory,1600,1800,M,LEC,22-E117-70,MT102,35,,,
117,974,DMIA 1110,Drawing and Illustration I: Fundamentals,700,1000,T,LAB,15-E084-29,MT102,36,,,
117,811,CCS 1001,Introduction to Computing,1000,1200,T,LEC,18-E041-69,MT102,38,,,
117,811,CCS 1001,Introduction to Computing,700,1000,W,LAB,18-E041-69,MTCL5,38,,,
117,1021,DMIA 4102,Digital Media Laws with Professional Ethics,1300,1600,W,LEC,16-E024-70,MT102,22,,,
117,984,DMIA 2102,Essentials of 2D and 3D Design,1000,1200,Th,LEC,13-E056-59,MT102,26,,,
117,974,DMIA 1110,Drawing and Illustration I: Fundamentals,1300,1600,Th,LAB,15-E084-29,MT102,36,,,
